[2016-05-04 00:20:16.609775]; Main application started
[2016-05-04 00:20:16.613778]; buildUI
[2016-05-04 00:20:16.734973]; done
[2016-05-04 00:20:16.737974]; ReceiveUART ; 
[2016-05-04 00:20:16.748982]; PopCmd ; QueueEmpty
[2016-05-04 00:20:17.755480]; ReceiveUART ; 
[2016-05-04 00:20:17.758481]; PopCmd ; QueueEmpty
[2016-05-04 00:20:18.766295]; ReceiveUART ; 
[2016-05-04 00:20:18.769297]; PopCmd ; QueueEmpty
[2016-05-04 00:20:19.777658]; ReceiveUART ; 
[2016-05-04 00:20:19.780661]; PopCmd ; QueueEmpty
[2016-05-04 00:20:20.789596]; ReceiveUART ; 
[2016-05-04 00:20:20.793600]; PopCmd ; QueueEmpty
[2016-05-04 00:20:21.803199]; ReceiveUART ; 
[2016-05-04 00:20:21.807202]; PopCmd ; QueueEmpty
[2016-05-04 00:20:22.816471]; ReceiveUART ; 
[2016-05-04 00:20:22.819474]; PopCmd ; QueueEmpty
[2016-05-04 00:20:23.827328]; ReceiveUART ; 
[2016-05-04 00:20:23.830329]; PopCmd ; QueueEmpty
[2016-05-04 00:20:24.840636]; ReceiveUART ; 
[2016-05-04 00:20:24.844638]; PopCmd ; QueueEmpty
[2016-05-04 00:20:25.856242]; ReceiveUART ; 
[2016-05-04 00:20:25.859245]; PopCmd ; QueueEmpty
[2016-05-04 00:20:26.867796]; ReceiveUART ; 
[2016-05-04 00:20:26.871802]; PopCmd ; QueueEmpty
[2016-05-04 00:20:27.883763]; ReceiveUART ; 
[2016-05-04 00:20:27.887766]; PopCmd ; QueueEmpty
[2016-05-04 00:20:28.895463]; ReceiveUART ; 
[2016-05-04 00:20:28.898453]; PopCmd ; QueueEmpty
[2016-05-04 00:20:29.905703]; ReceiveUART ; 
[2016-05-04 00:20:29.909705]; PopCmd ; QueueEmpty
[2016-05-04 00:20:30.920294]; ReceiveUART ; 
[2016-05-04 00:20:30.923297]; PopCmd ; QueueEmpty
[2016-05-04 00:20:31.936828]; ReceiveUART ; 
[2016-05-04 00:20:31.940820]; PopCmd ; QueueEmpty
[2016-05-04 00:20:32.947831]; ReceiveUART ; 
[2016-05-04 00:20:32.950835]; PopCmd ; QueueEmpty
[2016-05-04 00:20:33.960849]; ReceiveUART ; 
[2016-05-04 00:20:33.964851]; PopCmd ; QueueEmpty
[2016-05-04 00:20:34.971603]; ReceiveUART ; 
[2016-05-04 00:20:34.975606]; PopCmd ; QueueEmpty
[2016-05-04 00:20:35.982953]; ReceiveUART ; 
[2016-05-04 00:20:35.986956]; PopCmd ; QueueEmpty
[2016-05-04 00:20:36.996578]; ReceiveUART ; 
[2016-05-04 00:20:37.000582]; PopCmd ; QueueEmpty
[2016-05-04 00:20:38.009737]; ReceiveUART ; 
[2016-05-04 00:20:38.012739]; PopCmd ; QueueEmpty
[2016-05-04 00:20:39.032034]; ReceiveUART ; 
[2016-05-04 00:20:39.049022]; PopCmd ; QueueEmpty
[2016-05-04 00:20:40.074109]; ReceiveUART ; 
[2016-05-04 00:20:40.081114]; PopCmd ; QueueEmpty
[2016-05-04 00:20:41.102616]; ReceiveUART ; 
[2016-05-04 00:20:41.109609]; PopCmd ; QueueEmpty
[2016-05-04 00:20:42.121585]; ReceiveUART ; 
[2016-05-04 00:20:42.125600]; PopCmd ; QueueEmpty
[2016-05-04 00:20:43.134659]; ReceiveUART ; 
[2016-05-04 00:20:43.139664]; PopCmd ; QueueEmpty
[2016-05-04 00:20:44.152167]; ReceiveUART ; 
[2016-05-04 00:20:44.155171]; PopCmd ; QueueEmpty
[2016-05-04 00:20:45.162450]; ReceiveUART ; 
[2016-05-04 00:20:45.165444]; PopCmd ; QueueEmpty
[2016-05-04 00:20:46.176884]; ReceiveUART ; 
[2016-05-04 00:20:46.179889]; PopCmd ; QueueEmpty
[2016-05-04 00:20:47.193164]; ReceiveUART ; 
[2016-05-04 00:20:47.204173]; PopCmd ; QueueEmpty
[2016-05-04 00:20:48.218667]; ReceiveUART ; 
[2016-05-04 00:20:48.221671]; PopCmd ; QueueEmpty
[2016-05-04 00:20:49.231053]; ReceiveUART ; 
[2016-05-04 00:20:49.234066]; PopCmd ; QueueEmpty
[2016-05-04 00:20:50.243187]; ReceiveUART ; 
[2016-05-04 00:20:50.246176]; PopCmd ; QueueEmpty
[2016-05-04 00:20:51.259856]; ReceiveUART ; 
[2016-05-04 00:20:51.263848]; PopCmd ; QueueEmpty
[2016-05-04 00:20:52.273141]; ReceiveUART ; 
[2016-05-04 00:20:52.276143]; PopCmd ; QueueEmpty
[2016-05-04 00:20:53.285948]; ReceiveUART ; 
[2016-05-04 00:20:53.288950]; PopCmd ; QueueEmpty
[2016-05-04 00:20:54.298954]; ReceiveUART ; 
[2016-05-04 00:20:54.301957]; PopCmd ; QueueEmpty
[2016-05-04 00:20:55.311534]; ReceiveUART ; 
[2016-05-04 00:20:55.316540]; PopCmd ; QueueEmpty
[2016-05-04 00:20:56.326600]; ReceiveUART ; 
[2016-05-04 00:20:56.330603]; PopCmd ; QueueEmpty
[2016-05-04 00:20:57.339848]; ReceiveUART ; 
[2016-05-04 00:20:57.344852]; PopCmd ; QueueEmpty
[2016-05-04 00:20:58.353971]; ReceiveUART ; 
[2016-05-04 00:20:58.358975]; PopCmd ; QueueEmpty
[2016-05-04 00:20:59.367547]; ReceiveUART ; 
[2016-05-04 00:20:59.372553]; PopCmd ; QueueEmpty
[2016-05-04 00:21:00.379511]; ReceiveUART ; 
[2016-05-04 00:21:00.383503]; PopCmd ; QueueEmpty
[2016-05-04 00:21:01.395188]; ReceiveUART ; 
[2016-05-04 00:21:01.399190]; PopCmd ; QueueEmpty
[2016-05-04 00:21:02.410583]; ReceiveUART ; 
[2016-05-04 00:21:02.415589]; PopCmd ; QueueEmpty
[2016-05-04 00:21:03.424913]; ReceiveUART ; 
[2016-05-04 00:21:03.428902]; PopCmd ; QueueEmpty
[2016-05-04 00:21:04.437966]; ReceiveUART ; 
[2016-05-04 00:21:04.442970]; PopCmd ; QueueEmpty
[2016-05-04 00:21:05.451702]; ReceiveUART ; 
[2016-05-04 00:21:05.456706]; PopCmd ; QueueEmpty
[2016-05-04 00:21:06.465699]; ReceiveUART ; 
[2016-05-04 00:21:06.469703]; PopCmd ; QueueEmpty
[2016-05-04 00:21:07.477122]; ReceiveUART ; 
[2016-05-04 00:21:07.481125]; PopCmd ; QueueEmpty
[2016-05-04 00:21:08.489229]; ReceiveUART ; 
[2016-05-04 00:21:08.494233]; PopCmd ; QueueEmpty
[2016-05-04 00:21:09.505630]; ReceiveUART ; 
[2016-05-04 00:21:09.508606]; PopCmd ; QueueEmpty
[2016-05-04 00:21:10.522429]; ReceiveUART ; 
