[2016-05-04 00:44:58.340305]; Opening COM port
[2016-05-04 00:44:58.346342]; Main application started
[2016-05-04 00:44:58.350315]; buildUI
[2016-05-04 00:44:58.453299]; done
[2016-05-04 00:44:58.456301]; ReceiveUART ; 
[2016-05-04 00:44:58.463297]; PopCmd ; QueueEmpty
[2016-05-04 00:44:59.476577]; ReceiveUART ; 
[2016-05-04 00:44:59.483583]; PopCmd ; QueueEmpty
[2016-05-04 00:45:00.498940]; ReceiveUART ; 
[2016-05-04 00:45:00.513935]; PopCmd ; QueueEmpty
[2016-05-04 00:45:01.538369]; ReceiveUART ; 
[2016-05-04 00:45:01.564389]; PopCmd ; QueueEmpty
[2016-05-04 00:45:02.586384]; ReceiveUART ; 
[2016-05-04 00:45:02.594387]; PopCmd ; QueueEmpty
[2016-05-04 00:45:03.614846]; ReceiveUART ; 
[2016-05-04 00:45:03.632582]; PopCmd ; QueueEmpty
[2016-05-04 00:45:04.654873]; ReceiveUART ; 
[2016-05-04 00:45:04.681876]; PopCmd ; QueueEmpty
[2016-05-04 00:45:05.701414]; ReceiveUART ; 
[2016-05-04 00:45:05.707403]; PopCmd ; QueueEmpty
[2016-05-04 00:45:06.733526]; ReceiveUART ; 
[2016-05-04 00:45:06.751521]; PopCmd ; QueueEmpty
[2016-05-04 00:45:07.776595]; ReceiveUART ; 
[2016-05-04 00:45:07.799611]; PopCmd ; QueueEmpty
[2016-05-04 00:45:08.819313]; ReceiveUART ; 
[2016-05-04 00:45:08.827319]; PopCmd ; QueueEmpty
[2016-05-04 00:45:09.849802]; ReceiveUART ; 
[2016-05-04 00:45:09.867807]; PopCmd ; QueueEmpty
[2016-05-04 00:45:10.890313]; ReceiveUART ; 
[2016-05-04 00:45:10.909323]; PopCmd ; QueueEmpty
[2016-05-04 00:45:11.927347]; ReceiveUART ; 
[2016-05-04 00:45:11.934364]; PopCmd ; QueueEmpty
[2016-05-04 00:45:12.951002]; ReceiveUART ; 
[2016-05-04 00:45:12.979057]; PopCmd ; QueueEmpty
[2016-05-04 00:45:14.004290]; ReceiveUART ; 
[2016-05-04 00:45:14.031012]; PopCmd ; QueueEmpty
[2016-05-04 00:45:15.063144]; ReceiveUART ; 
[2016-05-04 00:45:15.082150]; PopCmd ; QueueEmpty
[2016-05-04 00:45:16.101225]; ReceiveUART ; 
[2016-05-04 00:45:16.116224]; PopCmd ; QueueEmpty
[2016-05-04 00:45:17.139467]; ReceiveUART ; 
[2016-05-04 00:45:17.168464]; PopCmd ; QueueEmpty
[2016-05-04 00:45:18.191660]; ReceiveUART ; 
[2016-05-04 00:45:18.206675]; PopCmd ; QueueEmpty
[2016-05-04 00:45:19.237739]; ReceiveUART ; 
[2016-05-04 00:45:19.266762]; PopCmd ; QueueEmpty
[2016-05-04 00:45:20.283648]; ReceiveUART ; 
[2016-05-04 00:45:20.290654]; PopCmd ; QueueEmpty
[2016-05-04 00:45:21.312929]; ReceiveUART ; 
[2016-05-04 00:45:21.338921]; PopCmd ; QueueEmpty
[2016-05-04 00:45:22.365567]; ReceiveUART ; 
[2016-05-04 00:45:22.392580]; PopCmd ; QueueEmpty
[2016-05-04 00:45:23.426724]; ReceiveUART ; 
[2016-05-04 00:45:23.447714]; PopCmd ; QueueEmpty
[2016-05-04 00:45:24.477276]; ReceiveUART ; 
[2016-05-04 00:45:24.504302]; PopCmd ; QueueEmpty
[2016-05-04 00:45:25.527021]; ReceiveUART ; 
[2016-05-04 00:45:25.544027]; PopCmd ; QueueEmpty
[2016-05-04 00:45:26.558942]; ReceiveUART ; 
[2016-05-04 00:45:26.567950]; PopCmd ; QueueEmpty
[2016-05-04 00:45:27.588656]; ReceiveUART ; 
[2016-05-04 00:45:27.615674]; PopCmd ; QueueEmpty
[2016-05-04 00:45:28.643071]; ReceiveUART ; 
[2016-05-04 00:45:28.667085]; PopCmd ; QueueEmpty
[2016-05-04 00:45:29.686353]; ReceiveUART ; 
[2016-05-04 00:45:29.692345]; PopCmd ; QueueEmpty
[2016-05-04 00:45:30.712057]; ReceiveUART ; 
[2016-05-04 00:45:30.732068]; PopCmd ; QueueEmpty
[2016-05-04 00:45:31.759251]; ReceiveUART ; 
[2016-05-04 00:45:31.783602]; PopCmd ; QueueEmpty
[2016-05-04 00:45:32.801323]; ReceiveUART ; 
[2016-05-04 00:45:32.808341]; PopCmd ; QueueEmpty
[2016-05-04 00:45:33.821056]; ReceiveUART ; 
[2016-05-04 00:45:33.829060]; PopCmd ; QueueEmpty
[2016-05-04 00:45:34.847200]; ReceiveUART ; 
[2016-05-04 00:45:34.870217]; PopCmd ; QueueEmpty
[2016-05-04 00:45:35.887848]; ReceiveUART ; 
[2016-05-04 00:45:35.893854]; PopCmd ; QueueEmpty
[2016-05-04 00:45:36.918282]; ReceiveUART ; 
[2016-05-04 00:45:36.942312]; PopCmd ; QueueEmpty
[2016-05-04 00:45:37.963993]; ReceiveUART ; 
[2016-05-04 00:45:37.970011]; PopCmd ; QueueEmpty
[2016-05-04 00:45:38.989823]; ReceiveUART ; 
[2016-05-04 00:45:39.019844]; PopCmd ; QueueEmpty
[2016-05-04 00:45:40.048514]; ReceiveUART ; 
[2016-05-04 00:45:40.070715]; PopCmd ; QueueEmpty
[2016-05-04 00:45:41.089824]; ReceiveUART ; 
[2016-05-04 00:45:41.102018]; PopCmd ; QueueEmpty
[2016-05-04 00:45:42.121985]; ReceiveUART ; 
[2016-05-04 00:45:42.140975]; PopCmd ; QueueEmpty
[2016-05-04 00:45:43.168899]; ReceiveUART ; 
[2016-05-04 00:45:43.182889]; PopCmd ; QueueEmpty
[2016-05-04 00:45:44.196368]; ReceiveUART ; 
[2016-05-04 00:45:44.204374]; PopCmd ; QueueEmpty
[2016-05-04 00:45:45.219256]; ReceiveUART ; 
[2016-05-04 00:45:45.243263]; PopCmd ; QueueEmpty
[2016-05-04 00:45:46.277829]; ReceiveUART ; 
[2016-05-04 00:45:46.304833]; PopCmd ; QueueEmpty
[2016-05-04 00:45:47.371855]; ReceiveUART ; 
[2016-05-04 00:45:47.396845]; PopCmd ; QueueEmpty
