[2016-05-19 15:41:26.285601]; Init ; Opening COM port ;
[2016-05-19 15:41:26.301216]; LaptopApplication ; Main LaptopApplication started ; 
[2016-05-19 15:41:26.316853]; buildUI ; ; 
[2016-05-19 15:41:26.559937]; main ; Main application started ; 
[2016-05-19 15:41:27.034814]; PushCmd ; inData ; bytearray(b'\xa5\x05\x13\x00\x00\x00\x00\x16Z')
[2016-05-19 15:41:27.050383]; PushCmd ; inData ; bytearray(b'\xa5\x03\x12\x00\x00\x11Z')
[2016-05-19 15:41:27.081618]; PushCmd ; inData ; bytearray(b'\xa5\x03\x11\x00\x00\x12Z')
[2016-05-19 15:41:28.440797]; PushCmd ; inData ; bytearray(b'\xa5\x021l_Z')
[2016-05-19 15:41:28.440797]; PushCmd ; inData ; bytearray(b'\xa5\x022\x1b+Z')
[2016-05-19 15:41:28.456441]; PushCmd ; inData ; bytearray(b'\xa5\x021o\\Z')
[2016-05-19 15:41:28.472039]; PushCmd ; inData ; bytearray(b'\xa5\x022\x1b+Z')
[2016-05-19 15:41:28.472039]; PushCmd ; inData ; bytearray(b'\xa5\x021rAZ')
[2016-05-19 15:41:28.487678]; PushCmd ; inData ; bytearray(b'\xa5\x022\x1b+Z')
[2016-05-19 15:41:28.503293]; PushCmd ; inData ; bytearray(b'\xa5\x021tGZ')
[2016-05-19 15:41:28.503293]; PushCmd ; inData ; bytearray(b'\xa5\x022\x1b+Z')
[2016-05-19 15:41:28.518891]; PushCmd ; inData ; bytearray(b'\xa5\x021wDZ')
[2016-05-19 15:41:28.534501]; PushCmd ; inData ; bytearray(b'\xa5\x022\x1b+Z')
[2016-05-19 15:41:28.550146]; PushCmd ; inData ; bytearray(b'\xa5\x021xKZ')
[2016-05-19 15:41:28.565765]; PushCmd ; inData ; bytearray(b'\xa5\x022\x1b+Z')
[2016-05-19 15:41:28.581362]; PushCmd ; inData ; bytearray(b'\xa5\x021xKZ')
[2016-05-19 15:41:28.596998]; PushCmd ; inData ; bytearray(b'\xa5\x022\x1b+Z')
[2016-05-19 15:41:28.628234]; PushCmd ; inData ; bytearray(b'\xa5\x021{HZ')
[2016-05-19 15:41:28.643823]; PushCmd ; inData ; bytearray(b'\xa5\x022\x1b+Z')
[2016-05-19 15:41:28.659467]; PushCmd ; inData ; bytearray(b'\xa5\x021|OZ')
[2016-05-19 15:41:28.675084]; PushCmd ; inData ; bytearray(b'\xa5\x022\x1b+Z')
[2016-05-19 15:41:28.690704]; PushCmd ; inData ; bytearray(b'\xa5\x021|OZ')
[2016-05-19 15:41:28.706300]; PushCmd ; inData ; bytearray(b'\xa5\x022\x1b+Z')
[2016-05-19 15:41:28.721936]; PushCmd ; inData ; bytearray(b'\xa5\x021~MZ')
[2016-05-19 15:41:28.737556]; PushCmd ; inData ; bytearray(b'\xa5\x022\x1b+Z')
[2016-05-19 15:41:28.753175]; PushCmd ; inData ; bytearray(b'\xa5\x021~MZ')
[2016-05-19 15:41:28.768767]; PushCmd ; inData ; bytearray(b'\xa5\x022\x1b+Z')
[2016-05-19 15:41:28.784380]; PushCmd ; inData ; bytearray(b'\xa5\x021\x7fLZ')
[2016-05-19 15:41:28.800023]; PushCmd ; inData ; bytearray(b'\xa5\x022\x1b+Z')
[2016-05-19 15:41:28.815641]; PushCmd ; inData ; bytearray(b'\xa5\x021\x80\xb3Z')
[2016-05-19 15:41:28.815641]; PushCmd ; inData ; bytearray(b'\xa5\x022\x1b+Z')
[2016-05-19 15:41:29.066325]; PushCmd ; inData ; bytearray(b'\xa5\x021\x80\xb3Z')
[2016-05-19 15:41:29.081951]; PushCmd ; inData ; bytearray(b'\xa5\x022\x1c,Z')
[2016-05-19 15:41:29.097587]; PushCmd ; inData ; bytearray(b'\xa5\x021\x80\xb3Z')
[2016-05-19 15:41:29.097587]; PushCmd ; inData ; bytearray(b'\xa5\x022\x1c,Z')
[2016-05-19 15:41:29.144411]; PushCmd ; inData ; bytearray(b'\xa5\x021\x80\xb3Z')
[2016-05-19 15:41:29.160028]; PushCmd ; inData ; bytearray(b'\xa5\x022\x1c,Z')
[2016-05-19 15:41:29.160028]; PushCmd ; inData ; bytearray(b'\xa5\x021\x7fLZ')
[2016-05-19 15:41:29.160028]; PushCmd ; inData ; bytearray(b'\xa5\x022\x1c,Z')
[2016-05-19 15:41:29.175664]; PushCmd ; inData ; bytearray(b'\xa5\x021}NZ')
[2016-05-19 15:41:29.175664]; PushCmd ; inData ; bytearray(b'\xa5\x022\x1d-Z')
[2016-05-19 15:41:29.191282]; PushCmd ; inData ; bytearray(b'\xa5\x021{HZ')
[2016-05-19 15:41:29.206910]; PushCmd ; inData ; bytearray(b'\xa5\x022\x1d-Z')
[2016-05-19 15:41:29.238144]; PushCmd ; inData ; bytearray(b'\xa5\x021vEZ')
[2016-05-19 15:41:29.253763]; PushCmd ; inData ; bytearray(b'\xa5\x022 \x10Z')
[2016-05-19 15:41:29.269379]; PushCmd ; inData ; bytearray(b'\xa5\x021pCZ')
